competitor_id,market_share,product_category,customer_rating,sales_volume,product_range,price_range,location,ad_spend,social_media_engagement
4,0.9962563157799333,Clothing,2.8846798961092506,25871,82,175.91604978512441,Asia,7138.582972135348,4462.686084457609
9,0.09056876505228795,Clothing,4.032090890804376,44228,99,350.62445858664785,EU,5953.059998339021,3144.6039209094497
1,0.6512503101722008,Clothing,2.4669154702576943,28140,124,380.3477814473667,US,7026.2252174852265,3915.9639101532857
9,0.49458725421094896,Electronics,2.0310279173479193,37849,54,379.92205635338064,Asia,7295.198064165525,1401.0035371525353
2,0.5940353360461355,Food,3.7851565461094094,20857,65,163.14098963262578,US,1185.8461693022605,1157.9808490966166
2,0.3494487947906725,Food,3.491265468208584,10742,126,179.80767304942546,EU,2552.9540646849673,35.11974470583934
7,0.947574055903842,Clothing,1.8366145598278596,8054,77,240.72535582118687,Asia,8204.790139144221,3772.6581724961184
9,0.218359024588891,Electronics,1.9252756679235792,18951,151,324.61340077570304,Asia,9175.04875005404,2401.5133727184584
7,0.319521229605925,Electronics,3.9879536588348286,44053,112,188.60479947382146,Asia,2700.9474516432974,2542.7877635053114
9,0.04470563007291506,Electronics,4.3588655115779265,6567,53,391.43493270888433,US,6862.307470504159,2840.1461050338944
7,0.5323024916718591,Clothing,1.882117214293587,45120,112,237.88093984263728,Asia,2300.967468681077,1563.834771444082
7,0.42678549801332766,Electronics,4.7213783092601895,13340,180,42.90121908425998,Asia,7783.115891943866,1510.7925706700992
6,0.2834641318233354,Electronics,3.582257337593795,18604,195,488.3003848414343,US,2193.1582987542156,3941.06641118559
9,0.3389875569847328,Clothing,3.9206615684475254,11352,127,125.77314097652308,US,7800.8787196762505,3844.9557667824615
5,0.872538738969614,Clothing,2.441038334625135,24198,134,239.0915477805101,EU,7114.740477651441,4854.456481034674
7,0.6726543513927286,Food,3.2374876961014087,34464,126,261.8145368743766,US,3228.8222281575636,1796.9262780739352
1,0.43758270623099915,Electronics,3.5265651074187945,1898,128,345.4386331903463,US,3637.14599079887,2839.2177038315454
9,0.47449375722272213,Clothing,4.184428996484984,11998,135,157.9560638385078,US,5600.296787681194,4382.324466749596
5,0.07522517622429037,Electronics,1.5886533066017372,33359,184,166.6641556729656,US,3841.727594425765,665.1564267986964
6,0.7818954677327944,Electronics,1.7066164056873858,31633,158,317.7016565558377,Asia,9896.947047953554,3263.4608859469554
9,0.3045942165615768,Food,3.666768187662452,4551,148,259.9463236838452,US,4604.975343099042,3717.738766206573
4,0.6219891747451646,Food,3.473956378283825,44455,110,65.93302558200888,US,3179.371102528899,3204.099779195207
1,0.7757349887026215,Electronics,4.68400051151783,27616,166,127.47297739630523,Asia,7997.677810538369,3019.9515530043027
4,0.007042657816743514,Food,4.581635341338737,1011,179,211.58087763433034,US,8751.782592957255,2094.490035319528
9,0.35587595556398766,Electronics,2.0572463312354667,9408,155,42.5827680813268,EU,2542.239426132749,4939.131078697272
6,0.9696203816709065,Electronics,4.639117820413825,18643,83,98.72817915089283,Asia,5749.800352442957,1584.2617334791198
6,0.3518541702691135,Electronics,4.987249270507079,10422,134,115.06898609305172,Asia,8453.519984887818,2516.539619680019
6,0.6454910553899217,Clothing,2.689441122560692,38229,158,263.2775833499951,US,1252.768110849646,5.0734064621626995
6,0.8470142631323233,Clothing,3.915398248898887,27837,163,191.56474385622957,EU,8022.713813202954,2928.2148112428986
2,0.1816723104588326,Food,2.605028142276827,44663,107,219.10722740154887,Asia,9877.206782705904,2187.2849423887196
6,0.4674636479698109,Food,4.333508621302323,48805,171,421.803049273208,Asia,8092.520070837919,355.5150178132094
8,0.788209548950516,Food,4.581540779664735,27718,70,424.0297666035614,Asia,8686.788357818543,3692.1792887123634
4,0.32233401036184595,Clothing,4.3304776303310994,10941,50,224.6889781860027,Asia,3162.2673375537825,3649.9028601224177
2,0.634904936644719,Clothing,3.7073336866091124,1169,82,149.71727184523877,US,2993.889147690359,4709.845764494697
5,0.8884248514781602,Electronics,2.5019866598389946,3620,133,496.7029751905515,Asia,7216.156707178573,1566.8571773400936
9,0.8115753967064588,Food,1.576146299619345,22178,89,303.0939251878139,EU,5694.09411094088,4594.957875019783
4,0.7078359825249576,Food,1.8872446357398225,3535,184,289.8674875050153,US,6964.343803151258,694.1700549463159
6,0.6076696389096814,Food,2.23533272889011,34862,191,248.98182295870797,EU,2763.5284695805385,807.7772061997047
5,0.7772614525636417,Food,1.534769833780246,29579,58,348.52092778301983,US,3498.228118495463,4896.093487478794
2,0.3574511025179702,Food,4.806127189092638,12964,76,52.4990636606692,Asia,8852.447218279813,1751.661920236109
5,0.0890924696037606,Food,3.4257237811828194,7669,173,11.572378712786943,Asia,6530.168014950466,3459.4529665215173
9,0.6632048431366929,Food,1.4775721289166426,9867,182,53.393342417531706,US,5898.193330800459,1685.0195218453196
7,0.05448001094718469,Electronics,4.8408622197188675,14289,84,23.749830490355645,US,9044.505572353355,2.86248206488926
6,0.9231046003675482,Food,3.7189956078034485,49889,190,295.99184623940016,EU,2719.9754609739202,1344.2549780762174
7,0.048849895630735496,Food,1.1659165373243612,23872,84,249.66781333113357,Asia,5937.435838716014,3617.4531110118846
7,0.7647413584857125,Clothing,4.876294081472414,42551,143,214.65600375652343,EU,5401.194209960695,1840.8457933729117
5,0.827799533954067,Clothing,2.8316944524923513,5508,147,177.44657675273012,EU,9113.09567144158,743.8418518523043
8,0.9155953307400286,Clothing,1.9586495072941137,45624,127,122.26122751574218,EU,5250.8287740434835,3055.6958873052276
2,0.9876469250293926,Food,1.8639670289330663,45627,61,72.95765014438248,Asia,1194.3393643993281,813.0511092348091
9,0.6421074304045447,Food,1.2622103670951441,2571,116,420.3677772784498,Asia,2231.7748188384066,3303.9440501822714
2,0.7582250214208804,Food,4.051701312486548,29545,112,365.07406950949314,Asia,8918.779586520548,1034.4085237621537
5,0.5085886746087821,Food,1.1732888961716386,2019,66,460.3336332081382,Asia,1809.5232019235318,1425.165212533615
2,0.5980652932817934,Electronics,1.4971351844077243,5290,198,175.9395342732583,Asia,1466.155382126059,3854.858710352003
1,0.7020276732423081,Clothing,3.8097934449413144,12904,117,200.9509574563228,US,2791.455702794546,3992.4810834364716
7,0.06582966249504829,Food,2.5857898201662275,6953,61,140.3525969078573,US,6853.852132110132,3975.522019600473
2,0.7784418637141638,Food,4.892439980848705,11534,88,294.7757514528493,US,4960.508039646022,1376.7501852999048
5,0.480314880325451,Food,1.3943832590809748,43985,64,25.117864514781537,US,9374.984562570244,1477.5009683418632
1,0.28959151148960205,Electronics,3.2889036403635035,20141,112,263.7114442870429,EU,4400.067919734805,3050.666202920709
8,0.7345294179051564,Food,2.6627580670151705,49255,133,128.98668364967835,EU,2980.6638316096714,1794.6481758826387
5,0.739310043918747,Clothing,3.5514329994707543,27621,105,484.82211625354176,US,7151.324458510922,1969.4427984580636
5,0.1413793295359309,Electronics,2.655952746545438,8430,194,460.83797196143934,EU,1647.7052029766483,2659.088999085709
1,0.80452840757245,Food,1.1172745430124253,37160,82,396.3322672463986,US,8903.54494825987,1086.4247373036694
4,0.6800680100307407,Electronics,2.9926368772103737,11805,73,404.8718932723441,Asia,4007.63611333628,2741.2553856056966
9,0.6838635756999838,Clothing,1.256641172079887,12375,105,160.37573560912665,EU,5506.264276119463,3690.4714936179917
7,0.25044138931915216,Clothing,1.7888289035484357,36388,98,242.28789187688787,US,1517.4275450068867,3310.806971277295
2,0.3254039847341186,Electronics,2.5076187254062363,4113,170,212.61279545071443,EU,8000.6552497156445,3281.807213289748
6,0.8296649651241805,Electronics,3.5362048542256255,42495,153,465.28662397781284,US,6431.752717949101,3637.919697775266
7,0.9333446771771842,Electronics,2.659304414222999,9163,180,49.01926102488582,US,7968.4037951401515,3519.304582197863
9,0.6170239452458937,Food,3.114649619354837,39794,123,147.3998091385309,Asia,6329.387041713846,1616.7757292514696
3,0.36624211498780734,Electronics,4.261506022436535,48797,190,434.6110779236744,US,7839.01530453477,4990.766982784707
